"WeekCountry";"FstDose";"SecDose"
"Bulgaria2022-33";1612.0;1183.0
"Bulgaria2022-34";1398.0;1107.0
"Bulgaria2022-35";1223.0;959.0
"Bulgaria2022-36";967.0;850.0
"Bulgaria2022-37";958.0;746.0
"Bulgaria2022-38";666.0;513.0
"Bulgaria2022-39";802.0;441.0
"Bulgaria2022-40";556.0;332.0
"Bulgaria2022-41";736.0;347.0
"Bulgaria2022-42";455.0;341.0
"Bulgaria2022-43";440.0;290.0
"Bulgaria2022-44";398.0;252.0
"Bulgaria2022-45";411.0;243.0
"Bulgaria2022-46";378.0;198.0
"Bulgaria2022-47";247.0;135.0
"Bulgaria2022-48";250.0;177.0
"Bulgaria2022-49";272.0;135.0
"Bulgaria2022-50";258.0;108.0
"Bulgaria2022-51";223.0;88.0
"Bulgaria2022-52";1133.0;765.0
"Bulgaria2023-01";301.0;76.0
"Bulgaria2023-02";380.0;90.0
"Bulgaria2023-03";306.0;27.0
"Bulgaria2023-04";294.0;48.0
"Bulgaria2023-05";283.0;80.0
"Bulgaria2023-06";278.0;69.0
"Bulgaria2023-07";237.0;87.0
"Bulgaria2023-08";243.0;88.0
"Bulgaria2023-09";164.0;87.0
"Bulgaria2023-10";226.0;60.0
"Bulgaria2023-11";291.0;45.0
"Bulgaria2023-12";209.0;73.0
"Bulgaria2023-13";324.0;46.0
"Bulgaria2023-14";294.0;64.0
"Bulgaria2023-15";254.0;52.0
"Bulgaria2023-16";349.0;72.0
"Bulgaria2023-17";534.0;87.0
"Bulgaria2023-18";231.0;48.0
"Bulgaria2023-19";84.0;41.0
"Bulgaria2023-20";57.0;29.0
"Bulgaria2023-21";38.0;12.0
"Bulgaria2023-22";40.0;7.0
"Bulgaria2023-23";22.0;0.0
"Bulgaria2023-24";52.0;0.0
"Bulgaria2023-25";35.0;0.0
"Bulgaria2023-26";35.0;2.0
"Bulgaria2023-27";35.0;0.0
"Bulgaria2023-28";19.0;0.0
"Bulgaria2023-29";12.0;0.0
"Bulgaria2023-30";22.0;0.0
"Bulgaria2023-31";25.0;5.0
"Bulgaria2023-32";27.0;8.0
"Bulgaria2023-33";13.0;2.0
"Bulgaria2023-34";8.0;18.0
"Bulgaria2023-35";17.0;16.0
"Bulgaria2023-36";6.0;12.0
"Bulgaria2023-37";11.0;16.0
"Bulgaria2023-38";9.0;14.0
"Croatia2020-52";4729.0;20.0
"Croatia2020-53";24600.0;40.0
"Croatia2021-01";46066.0;101.0
"Croatia2021-02";43369.0;914.0
"Croatia2021-03";29966.0;25837.0
"Croatia2021-04";4182.0;36558.0
"Croatia2021-05";5840.0;36737.0
"Croatia2021-06";29805.0;36093.0
"Croatia2021-07";76816.0;11987.0
"Croatia2021-08";124461.0;5072.0
"Croatia2021-09";108940.0;9593.0
"Croatia2021-10";108142.0;25496.0
"Croatia2021-11";107154.0;31942.0
"Croatia2021-12";110148.0;19520.0
"Croatia2021-13";112269.0;27763.0
"Croatia2021-14";111460.0;31266.0
"Croatia2021-15";158740.0;72773.0
"Croatia2021-16";146489.0;67309.0
"Croatia2021-17";172167.0;79757.0
"Croatia2021-18";356365.0;124623.0
"Croatia2021-19";360516.0;134765.0
"Croatia2021-20";300022.0;139233.0
"Croatia2021-21";201226.0;182973.0
"Croatia2021-22";120085.0;159680.0
"Croatia2021-23";121493.0;303915.0
"Croatia2021-24";68194.0;349322.0
"Croatia2021-25";46076.0;262588.0
"Croatia2021-26";66934.0;274766.0
"Croatia2021-27";87857.0;200888.0
"Croatia2021-28";70492.0;119111.0
"Croatia2021-29";60865.0;124980.0
"Croatia2021-30";50960.0;93005.0
"Croatia2021-31";31419.0;58833.0
"Croatia2021-32";30241.0;55512.0
"Croatia2021-33";35116.0;49551.0
"Croatia2021-34";42965.0;45395.0
"Croatia2021-35";41515.0;32726.0
"Croatia2021-36";35596.0;28974.0
"Croatia2021-37";45244.0;28743.0
"Croatia2021-38";45378.0;31406.0
"Croatia2021-39";46817.0;29787.0
"Croatia2021-40";44395.0;28320.0
"Croatia2021-41";31656.0;29214.0
"Croatia2021-42";31008.0;30236.0
"Croatia2021-43";47872.0;35003.0
"Croatia2021-44";82280.0;30841.0
"Croatia2021-45";198908.0;34876.0
"Croatia2021-46";150576.0;30425.0
"Croatia2021-47";90371.0;43086.0
"Croatia2021-48";52678.0;84430.0
"Croatia2021-49";34249.0;107525.0
"Croatia2021-50";24033.0;94213.0
"Croatia2021-51";12046.0;46335.0
"Croatia2021-52";11630.0;39241.0
"Croatia2022-01";14522.0;35001.0
"Croatia2022-02";19358.0;33543.0
"Croatia2022-03";13572.0;18283.0
"Croatia2022-04";8938.0;11885.0
"Croatia2022-05";6761.0;11099.0
"Croatia2022-06";5403.0;10647.0
"Croatia2022-07";4317.0;9154.0
"Croatia2022-08";3014.0;6634.0
"Croatia2022-09";1545.0;4146.0
"Croatia2022-10";1536.0;3508.0
"Croatia2022-11";1364.0;2706.0
"Croatia2022-12";1123.0;1862.0
"Croatia2022-13";930.0;1493.0
"Croatia2022-14";1042.0;1485.0
"Croatia2022-15";650.0;933.0
"Croatia2022-16";541.0;923.0
"Croatia2022-17";718.0;884.0
"Croatia2022-18";614.0;714.0
"Croatia2022-19";553.0;591.0
"Croatia2022-20";427.0;553.0
"Croatia2022-21";392.0;560.0
"Croatia2022-22";336.0;364.0
"Croatia2022-23";350.0;373.0
"Croatia2022-24";333.0;286.0
"Croatia2022-25";266.0;200.0
"Croatia2022-26";401.0;332.0
"Croatia2022-27";356.0;288.0
