YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W53,PL,83233,,,0,,0,0,0,0,0,0,0,PL61,Age80+,MOD,37958138
2020-W53,PL,83233,,,0,,0,0,0,0,0,0,0,PL61,Age80+,JANSS,37958138
2020-W53,PL,83233,,,0,,0,0,0,0,0,0,0,PL61,Age80+,AZ,37958138
2020-W53,PL,815623,,,1413,,0,0,0,0,0,0,0,PL43,ALL,COM,37958138
2020-W53,PL,815623,,,0,,0,0,0,0,0,0,0,PL43,ALL,NVXD,37958138
2020-W53,PL,815623,,,0,,0,0,0,0,0,0,0,PL43,ALL,MOD,37958138
2020-W53,PL,815623,,,0,,0,0,0,0,0,0,0,PL43,ALL,JANSS,37958138
2020-W53,PL,815623,,,0,,0,0,0,0,0,0,0,PL43,ALL,AZ,37958138
2020-W53,PL,78588,,,0,,0,0,0,0,0,0,0,PL42,Age5_9,NVXD,37958138
2020-W53,PL,78588,,,0,,0,0,0,0,0,0,0,PL42,Age5_9,MOD,37958138
2020-W53,PL,78588,,,0,,0,0,0,0,0,0,0,PL42,Age5_9,JANSS,37958138
2020-W53,PL,78588,,,0,,0,0,0,0,0,0,0,PL42,Age5_9,COM,37958138
2020-W53,PL,78588,,,0,,0,0,0,0,0,0,0,PL42,Age5_9,AZ,37958138
2020-W53,PL,780277,,,1667,,0,0,0,0,0,0,0,PL52,ALL,COM,37958138
2020-W53,PL,780277,,,0,,0,0,0,0,0,0,0,PL52,ALL,NVXD,37958138
2020-W53,PL,780277,,,0,,0,0,0,0,0,0,0,PL52,ALL,MOD,37958138
2020-W53,PL,780277,,,0,,0,0,0,0,0,0,0,PL52,ALL,JANSS,37958138
2020-W53,PL,780277,,,0,,0,0,0,0,0,0,0,PL52,ALL,AZ,37958138
2020-W53,PL,78000,,,0,,0,0,0,0,0,0,0,PL62,Age10_14,NVXD,37958138
2020-W53,PL,78000,,,0,,0,0,0,0,0,0,0,PL62,Age10_14,MOD,37958138
2020-W53,PL,78000,,,0,,0,0,0,0,0,0,0,PL62,Age10_14,JANSS,37958138
2020-W53,PL,78000,,,0,,0,0,0,0,0,0,0,PL62,Age10_14,COM,37958138
2020-W53,PL,78000,,,0,,0,0,0,0,0,0,0,PL62,Age10_14,AZ,37958138
2020-W53,PL,770852,,,1090,,0,0,0,0,0,0,0,PL82,Age25_49,COM,37958138
2020-W53,PL,770852,,,0,,0,0,0,0,0,0,0,PL82,Age25_49,NVXD,37958138
2020-W53,PL,770852,,,0,,0,0,0,0,0,0,0,PL82,Age25_49,MOD,37958138
2020-W53,PL,770852,,,0,,0,0,0,0,0,0,0,PL82,Age25_49,JANSS,37958138
2020-W53,PL,770852,,,0,,0,0,0,0,0,0,0,PL82,Age25_49,AZ,37958138
2020-W53,PL,75580,,,0,,0,0,0,0,0,0,0,PL42,Age0_4,NVXD,37958138
2020-W53,PL,75580,,,0,,0,0,0,0,0,0,0,PL42,Age0_4,MOD,37958138
2020-W53,PL,75580,,,0,,0,0,0,0,0,0,0,PL42,Age0_4,JANSS,37958138
2020-W53,PL,75580,,,0,,0,0,0,0,0,0,0,PL42,Age0_4,COM,37958138
2020-W53,PL,75580,,,0,,0,0,0,0,0,0,0,PL42,Age0_4,AZ,37958138
2020-W53,PL,75511,,,50,,0,0,0,0,0,0,0,PL43,Age70_79,COM,37958138
2020-W53,PL,75511,,,0,,0,0,0,0,0,0,0,PL43,Age70_79,NVXD,37958138
2020-W53,PL,75511,,,0,,0,0,0,0,0,0,0,PL43,Age70_79,MOD,37958138
2020-W53,PL,75511,,,0,,0,0,0,0,0,0,0,PL43,Age70_79,JANSS,37958138
2020-W53,PL,75511,,,0,,0,0,0,0,0,0,0,PL43,Age70_79,AZ,37958138
2020-W53,PL,752363,,,746,,0,0,0,0,0,0,0,PL81,Age25_49,COM,37958138
2020-W53,PL,752363,,,0,,0,0,0,0,0,0,0,PL81,Age25_49,NVXD,37958138
2020-W53,PL,752363,,,0,,0,0,0,0,0,0,0,PL81,Age25_49,MOD,37958138
2020-W53,PL,752363,,,0,,0,0,0,0,0,0,0,PL81,Age25_49,JANSS,37958138
