DATAFLOW,LAST UPDATE,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-10,6313,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-11,7432,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2022-12,10705,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2023-01,9674,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2023-02,10652,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2023-03,9952,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2023-04,12443,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2023-05,16443,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2023-06,15622,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2023-07,17568,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWK,TOT,TOTAL,2023-08,16997,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-01,21541,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-02,20529,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-03,25009,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-04,33722,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-05,47981,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-06,51365,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-07,55419,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-08,53783,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-09,48146,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-10,30439,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-11,24576,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2019-12,17777,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-01,18188,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-02,20792,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-03,6940,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-04,0,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-05,723,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-06,30,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-07,558,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-08,1132,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-09,1047,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-10,301,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-11,253,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2020-12,197,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2021-01,0,
ESTAT:AVIA_PAOA(1.0),08/11/23 23:00:00,M,PAS,PAS_CRD,AT_LOWL,TOT,TOTAL,2021-02,0,
